Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2015/2016,2015,National University of Singapore,School of Design & Environment,Industrial Design,BBB/B,76.25,3.59
2014/2015,2014,National University of Singapore,School of Design & Environment,Industrial Design,BBB/B,76.25,3.73
2013/2014,2013,National University of Singapore,School of Design & Environment,Industrial Design,BBB/C,75,3.57
2012/2013,2012,National University of Singapore,School of Design & Environment,Industrial Design,BBB/B,76.25,3.67
2011/2012,2011,National University of Singapore,School of Design & Environment,Industrial Design,BBB/C,75,3.52
2010/2011,2010,National University of Singapore,School of Design & Environment,Industrial Design,BBC/B,73.75,No Data
2009/2010,2009,National University of Singapore,School of Design & Environment,Industrial Design,BCC/C,70,No Data
2008/2009,2008,National University of Singapore,School of Design & Environment,Industrial Design,CCC/B,68.75,No Data
2019/2020,2019,National University of Singapore,School of Design & Environment,Project & Facilities Management,BCC/B,71.25,3.59
2018/2019,2018,National University of Singapore,School of Design & Environment,Project & Facilities Management,BCC/C,70,3.54
2017/2018,2017,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBB/C,75,3.68
2016/2017,2016,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBB/B,76.25,3.68
2015/2016,2015,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBC/C,72.5,3.74
2014/2015,2014,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBC/C,72.5,3.77
2013/2014,2013,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBC/B,73.75,3.66
2012/2013,2012,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBC/C,72.5,3.65
2011/2012,2011,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBB/C,75,3.61
2010/2011,2010,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBB/C,75,3.54
2009/2010,2009,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBB/B,76.25,3.43
2008/2009,2008,National University of Singapore,School of Design & Environment,Project & Facilities Management,BBC/C,72.5,3.41
2019/2020,2019,National University of Singapore,School of Design & Environment,Real Estate,BCC/B,71.25,3.58
2018/2019,2018,National University of Singapore,School of Design & Environment,Real Estate,BCC/C,70,3.54
2017/2018,2017,National University of Singapore,School of Design & Environment,Real Estate,BBC/B,73.75,3.68
2016/2017,2016,National University of Singapore,School of Design & Environment,Real Estate,BBB/B,76.25,3.65
2015/2016,2015,National University of Singapore,School of Design & Environment,Real Estate,BBC/C,72.5,3.71
2014/2015,2014,National University of Singapore,School of Design & Environment,Real Estate,BBC/C,72.5,3.74
2013/2014,2013,National University of Singapore,School of Design & Environment,Real Estate,BBB/C,75,3.65
2012/2013,2012,National University of Singapore,School of Design & Environment,Real Estate,BBC/B,73.75,3.67
2011/2012,2011,National University of Singapore,School of Design & Environment,Real Estate,BBB/C,75,3.65
2010/2011,2010,National University of Singapore,School of Design & Environment,Real Estate,BBB/B,76.25,3.46
2009/2010,2009,National University of Singapore,School of Design & Environment,Real Estate,BBB/C,75,3.4
2008/2009,2008,National University of Singapore,School of Design & Environment,Real Estate,BBC/B,73.75,3.37
2019/2020,2019,National University of Singapore,Faculty of Engineering,Engineering,BCC/C,70,No Data
2018/2019,2018,National University of Singapore,Faculty of Engineering,Engineering,BCC/C,70,No Data
2017/2018,2017,National University of Singapore,Faculty of Engineering,Engineering,BBB/C,75,No Data
2016/2017,2016,National University of Singapore,Faculty of Engineering,Engineering,ABB/B,78.75,No Data
2015/2016,2015,National University of Singapore,Faculty of Engineering,Engineering,BBC/B,73.75,No Data
2014/2015,2014,National University of Singapore,Faculty of Engineering,Engineering,BBC/B,73.75,No Data
2013/2014,2013,National University of Singapore,Faculty of Engineering,Engineering,BBC/C,72.5,No Data
2012/2013,2012,National University of Singapore,Faculty of Engineering,Engineering,ABB/C,77.5,No Data
2011/2012,2011,National University of Singapore,Faculty of Engineering,Engineering,BBB/C,75,No Data
2010/2011,2010,National University of Singapore,Faculty of Engineering,Engineering,BBC/B,73.75,No Data
