Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2009/2010,2009,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2008/2009,2008,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2019/2020,2019,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,No Data
2018/2019,2018,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,No Data
2017/2018,2017,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,3.93
2016/2017,2016,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,3.92
2015/2016,2015,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,3.92
2014/2015,2014,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,3.94
2013/2014,2013,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,3.89
2012/2013,2012,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,3.9
2011/2012,2011,National University of Singapore,Faculty of Science,Pharmacy,AAA/B,83.75,3.87
2010/2011,2010,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,No Data
2009/2010,2009,National University of Singapore,Faculty of Science,Pharmacy,AAA/A,85,No Data
2008/2009,2008,National University of Singapore,Faculty of Science,Pharmacy,AAA/B,83.75,No Data
2019/2020,2019,National University of Singapore,Faculty of Science,Data Science & Analytics,AAB/C,80,No Data
2018/2019,2018,National University of Singapore,Faculty of Science,Data Science & Analytics,AAB/C,80,No Data
2017/2018,2017,National University of Singapore,Faculty of Science,Data Science & Analytics,AAA/C,82.5,No Data
2016/2017,2016,National University of Singapore,Faculty of Science,Data Science & Analytics,AAB/C,80,No Data
2015/2016,2015,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2014/2015,2014,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2013/2014,2013,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2012/2013,2012,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2011/2012,2011,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2010/2011,2010,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2009/2010,2009,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2008/2009,2008,National University of Singapore,Faculty of Science,Data Science & Analytics,No Data,No Data,No Data
2019/2020,2019,National University of Singapore,Faculty of Science,Science (Food Science & Technology),AAA/A,85,No Data
2018/2019,2018,National University of Singapore,Faculty of Science,Science (Food Science & Technology),AAA/C,82.5,3.85
2017/2018,2017,National University of Singapore,Faculty of Science,Science (Food Science & Technology),AAB/B,81.25,No Data
2016/2017,2016,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,3.92
2015/2016,2015,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,3.75
2014/2015,2014,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,3.88
2013/2014,2013,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,3.82
2012/2013,2012,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,3.88
2011/2012,2011,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,3.79
2010/2011,2010,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,No Data
2009/2010,2009,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,No Data
2008/2009,2008,National University of Singapore,Faculty of Science,Science (Food Science & Technology),No Data,No Data,No Data
2019/2020,2019,National University of Singapore,Faculty of Science,Science,AAA/C,82.5,No Data
2018/2019,2018,National University of Singapore,Faculty of Science,Science,AAB/C,80,No Data
2017/2018,2017,National University of Singapore,Faculty of Science,Science,ABB/B,78.75,No Data
2016/2017,2016,National University of Singapore,Faculty of Science,Science,ABB/C,77.5,No Data
2015/2016,2015,National University of Singapore,Faculty of Science,Science,BBB/C,75,No Data
2014/2015,2014,National University of Singapore,Faculty of Science,Science,BBC/C,72.5,No Data
2013/2014,2013,National University of Singapore,Faculty of Science,Science,BBC/B,73.75,No Data
2012/2013,2012,National University of Singapore,Faculty of Science,Science,BBC/B,73.75,No Data
2011/2012,2011,National University of Singapore,Faculty of Science,Science,ABB/B,78.75,No Data
2010/2011,2010,National University of Singapore,Faculty of Science,Science,ABB/B,78.75,No Data
2009/2010,2009,National University of Singapore,Faculty of Science,Science,ABB/B,78.75,No Data
2008/2009,2008,National University of Singapore,Faculty of Science,Science,BBB/B,76.25,No Data
2019/2020,2019,National University of Singapore,School of Business,Business Admin,AAB/C,80,3.73
2018/2019,2018,National University of Singapore,School of Business,Business Admin,ABB/B,78.75,3.71
2017/2018,2017,National University of Singapore,School of Business,Business Admin,AAB/C,80,3.81
2016/2017,2016,National University of Singapore,School of Business,Business Admin,AAA/C,82.5,3.85
2015/2016,2015,National University of Singapore,School of Business,Business Admin,AAA/C,82.5,3.85
2014/2015,2014,National University of Singapore,School of Business,Business Admin,AAA/C,82.5,3.86
2013/2014,2013,National University of Singapore,School of Business,Business Admin,AAA/B,83.75,3.82
2012/2013,2012,National University of Singapore,School of Business,Business Admin,AAA/B,83.75,3.82
2011/2012,2011,National University of Singapore,School of Business,Business Admin,AAA/A,85,3.79
2010/2011,2010,National University of Singapore,School of Business,Business Admin,AAA/B,83.75,3.73
2009/2010,2009,National University of Singapore,School of Business,Business Admin,AAA/C,82.5,3.75
2008/2009,2008,National University of Singapore,School of Business,Business Admin,AAB/B,81.25,3.5
2019/2020,2019,National University of Singapore,School of Business,Business Admin (Accountancy),AAB/C,80,3.76
2018/2019,2018,National University of Singapore,School of Business,Business Admin (Accountancy),AAB/C,80,3.73
2017/2018,2017,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/C,82.5,3.82
2016/2017,2016,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/A,85,3.89
2015/2016,2015,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/A,85,3.87
2014/2015,2014,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/A,85,3.88
2013/2014,2013,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/A,85,3.86
2012/2013,2012,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/A,85,3.86
2011/2012,2011,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/A,85,3.82
2010/2011,2010,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/A,85,3.81
2009/2010,2009,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/B,83.75,3.85
2008/2009,2008,National University of Singapore,School of Business,Business Admin (Accountancy),AAA/B,83.75,3.64
2019/2020,2019,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,BBB/C,75,3.67
2018/2019,2018,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,BBC/B,73.75,3.74
2017/2018,2017,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,BBB/B,76.25,3.74
2016/2017,2016,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,ABB/B,78.75,3.73
2015/2016,2015,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,BBB/B,76.25,3.74
2014/2015,2014,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,BBB/B,76.25,3.76
2013/2014,2013,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,ABB/C,77.5,3.68
2012/2013,2012,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,BBB/B,76.25,3.68
2011/2012,2011,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,ABB/C,77.5,3.68
2010/2011,2010,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,ABB/B,78.75,3.55
2009/2010,2009,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,ABB/C,77.5,3.48
2008/2009,2008,National University of Singapore,Faculty of Arts & Social Sciences,Arts & Social Sciences,BBC/C,72.5,3.39
2019/2020,2019,National University of Singapore,Environmental Studies,Environmental Studies,AAA/C,82.5,No Data
2018/2019,2018,National University of Singapore,Environmental Studies,Environmental Studies,AAA/C,82.5,3.74
2017/2018,2017,National University of Singapore,Environmental Studies,Environmental Studies,AAA/C,82.5,3.81
2016/2017,2016,National University of Singapore,Environmental Studies,Environmental Studies,AAA/A,85,3.8
2015/2016,2015,National University of Singapore,Environmental Studies,Environmental Studies,AAA/C,82.5,3.83
2014/2015,2014,National University of Singapore,Environmental Studies,Environmental Studies,AAA/B,83.75,3.81
2013/2014,2013,National University of Singapore,Environmental Studies,Environmental Studies,AAB/B,81.25,3.77
2012/2013,2012,National University of Singapore,Environmental Studies,Environmental Studies,AAB/B,81.25,No Data
2011/2012,2011,National University of Singapore,Environmental Studies,Environmental Studies,AAA/C,82.5,No Data
2010/2011,2010,National University of Singapore,Environmental Studies,Environmental Studies,No Data,No Data,No Data
2009/2010,2009,National University of Singapore,Environmental Studies,Environmental Studies,No Data,No Data,No Data
2008/2009,2008,National University of Singapore,Environmental Studies,Environmental Studies,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,AAA/A,85,No Data
2018/2019,2018,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,AAA/A,85,No Data
2017/2018,2017,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,AAA/A,85,No Data
2016/2017,2016,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,AAA/A,85,No Data
2015/2016,2015,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,AAA/A,85,No Data
2014/2015,2014,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,AAA/A,85,No Data
2013/2014,2013,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,AAA/A,85,No Data
2012/2013,2012,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,No Data,No Data,No Data
2011/2012,2011,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2018/2019,2018,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2017/2018,2017,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2016/2017,2016,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2015/2016,2015,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2014/2015,2014,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2013/2014,2013,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2012/2013,2012,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2011/2012,2011,Nanyang Technological University,College of Engineering,Renaissance Engineering,AAA/A,85,No Data
2010/2011,2010,Nanyang Technological University,College of Engineering,Renaissance Engineering,No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,College of Engineering,Renaissance Engineering,No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,College of Engineering,Renaissance Engineering,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/C,82.5,3.49
2018/2019,2018,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,3.83
2017/2018,2017,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/A,85,3.88
2016/2017,2016,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,3.74
2015/2016,2015,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,3.88
2014/2015,2014,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,3.81
2013/2014,2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAB/B,81.25,3.85
2012/2013,2012,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,No Data
2011/2012,2011,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,No Data
2010/2011,2010,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,No Data
2009/2010,2009,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,No Data
2008/2009,2008,Nanyang Technological University,College of Engineering,Aerospace Engineering,AAA/B,83.75,No Data
2019/2020,2019,Nanyang Technological University,College of Engineering,Bioengineering,BCC/B,71.25,3.69
2018/2019,2018,Nanyang Technological University,College of Engineering,Bioengineering,BCC/D,71.25,3.55
2017/2018,2017,Nanyang Technological University,College of Engineering,Bioengineering,BBC/D,71.25,3.47
2016/2017,2016,Nanyang Technological University,College of Engineering,Bioengineering,BBC/D,71.25,3.45
2015/2016,2015,Nanyang Technological University,College of Engineering,Bioengineering,BBC/D,71.25,3.42
2014/2015,2014,Nanyang Technological University,College of Engineering,Bioengineering,BBC/C,72.5,3.61
2013/2014,2013,Nanyang Technological University,College of Engineering,Bioengineering,BCC/D,68.75,3.34
2012/2013,2012,Nanyang Technological University,College of Engineering,Bioengineering,BCC/C,70,3.44
2011/2012,2011,Nanyang Technological University,College of Engineering,Bioengineering,BBC/B,73.75,3.46
2010/2011,2010,Nanyang Technological University,College of Engineering,Bioengineering,BBC/A,75,3.48
2009/2010,2009,Nanyang Technological University,College of Engineering,Bioengineering,BBC/A,75,3.3
2008/2009,2008,Nanyang Technological University,College of Engineering,Bioengineering,BBC/B,73.75,3.5
2019/2020,2019,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAC/C,77.5,3.67
2018/2019,2018,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAB/B,81.25,3.81
2017/2018,2017,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAA/C,82.5,3.69
2016/2017,2016,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAA/C,82.5,3.85
2015/2016,2015,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAB/C,80,3.64
2014/2015,2014,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAB/B,81.25,3.81
2013/2014,2013,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAB/B,81.25,3.48
2012/2013,2012,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAB/B,81.25,3.57
2011/2012,2011,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAB/B,81.25,3.68
2010/2011,2010,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAA/A,85,3.67
2009/2010,2009,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,AAA/B,83.75,3.67
2008/2009,2008,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,ABB/A,80,3.81
2019/2020,2019,Nanyang Technological University,College of Engineering,Civil Engineering,CCC/D,66.25,3.44
2018/2019,2018,Nanyang Technological University,College of Engineering,Civil Engineering,CCC/C,67.5,3.49
2017/2018,2017,Nanyang Technological University,College of Engineering,Civil Engineering,BCC/D,68.75,3.71
2016/2017,2016,Nanyang Technological University,College of Engineering,Civil Engineering,CCC/D,66.25,3.73
2015/2016,2015,Nanyang Technological University,College of Engineering,Civil Engineering,BCC/D,68.75,3.55
2014/2015,2014,Nanyang Technological University,College of Engineering,Civil Engineering,BCC/D,68.75,3.5
2013/2014,2013,Nanyang Technological University,College of Engineering,Civil Engineering,CCC/D,66.25,3.49
2012/2013,2012,Nanyang Technological University,College of Engineering,Civil Engineering,BCC/D,68.75,3.54
2011/2012,2011,Nanyang Technological University,College of Engineering,Civil Engineering,BCC/B,71.25,3.54
2010/2011,2010,Nanyang Technological University,College of Engineering,Civil Engineering,BCC/B,71.25,3.44
2009/2010,2009,Nanyang Technological University,College of Engineering,Civil Engineering,BCC/C,70,3.34
2008/2009,2008,Nanyang Technological University,College of Engineering,Civil Engineering,CCC/C,67.5,No Data
2019/2020,2019,Nanyang Technological University,College of Engineering,Computer Engineering,BBC/B,73.75,3.58
2018/2019,2018,Nanyang Technological University,College of Engineering,Computer Engineering,AAC/B,78.75,3.63
2017/2018,2017,Nanyang Technological University,College of Engineering,Computer Engineering,AAB/C,80,3.61
2016/2017,2016,Nanyang Technological University,College of Engineering,Computer Engineering,ABC/C,75,3.56
2015/2016,2015,Nanyang Technological University,College of Engineering,Computer Engineering,BBC/D,71.25,3.53
2014/2015,2014,Nanyang Technological University,College of Engineering,Computer Engineering,BCC/C,70,3.54
2013/2014,2013,Nanyang Technological University,College of Engineering,Computer Engineering,BCC/D,68.75,3.51
2012/2013,2012,Nanyang Technological University,College of Engineering,Computer Engineering,BCC/C,70,3.6
2011/2012,2011,Nanyang Technological University,College of Engineering,Computer Engineering,BCC/B,71.25,3.55
2010/2011,2010,Nanyang Technological University,College of Engineering,Computer Engineering,BBC/C,72.5,3.67
2009/2010,2009,Nanyang Technological University,College of Engineering,Computer Engineering,BBC/B,73.75,3.36
2008/2009,2008,Nanyang Technological University,College of Engineering,Computer Engineering,BCC/C,70,3.38
2019/2020,2019,Nanyang Technological University,College of Engineering,Computer Science,AAC/C,77.5,3.56
2018/2019,2018,Nanyang Technological University,College of Engineering,Computer Science,AAB/C,80,3.68
2017/2018,2017,Nanyang Technological University,College of Engineering,Computer Science,AAC/B,78.75,3.65
2016/2017,2016,Nanyang Technological University,College of Engineering,Computer Science,ABC/C,75,3.61
2015/2016,2015,Nanyang Technological University,College of Engineering,Computer Science,BBC/D,71.25,3.54
2014/2015,2014,Nanyang Technological University,College of Engineering,Computer Science,BCC/C,70,3.55
2013/2014,2013,Nanyang Technological University,College of Engineering,Computer Science,BCC/D,68.75,3.55
2012/2013,2012,Nanyang Technological University,College of Engineering,Computer Science,BCC/B,71.25,3.54
2011/2012,2011,Nanyang Technological University,College of Engineering,Computer Science,BCC/B,71.25,3.55
2010/2011,2010,Nanyang Technological University,College of Engineering,Computer Science,BBC/C,72.5,3.56
2009/2010,2009,Nanyang Technological University,College of Engineering,Computer Science,BBC/C,72.5,3.33
2008/2009,2008,Nanyang Technological University,College of Engineering,Computer Science,BCC/C,70,3.4
2019/2020,2019,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,AAB/B,81.25,No Data
2018/2019,2018,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,AAA/B,83.75,No Data
2017/2018,2017,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2016/2017,2016,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2015/2016,2015,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2014/2015,2014,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2013/2014,2013,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2012/2013,2012,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2011/2012,2011,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,College of Engineering,Data Science & Artificial Intelligence,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/D,68.75,3.43
2018/2019,2018,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/B,71.25,3.49
2017/2018,2017,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/C,70,3.56
2016/2017,2016,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,CCC/C,67.5,3.47
2015/2016,2015,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,CCD/C,65,3.44
2014/2015,2014,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,CCD/C,65,3.44
2013/2014,2013,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,CCD/C,65,3.37
2012/2013,2012,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/D,68.75,3.47
2011/2012,2011,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/C,70,3.51
2010/2011,2010,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/B,71.25,3.57
2009/2010,2009,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/C,70,3.39
2008/2009,2008,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,BCC/C,70,3.35
2019/2020,2019,Nanyang Technological University,College of Engineering,Engineering,CCC/C,67.5,No Data
2018/2019,2018,Nanyang Technological University,College of Engineering,Engineering,BCC/D,68.75,No Data
2017/2018,2017,Nanyang Technological University,College of Engineering,Engineering,BCC/D,68.75,No Data
2016/2017,2016,Nanyang Technological University,College of Engineering,Engineering,BCC/C,70,No Data
2015/2016,2015,Nanyang Technological University,College of Engineering,Engineering,BCC/D,68.75,No Data
2014/2015,2014,Nanyang Technological University,College of Engineering,Engineering,BCC/D,68.75,No Data
2013/2014,2013,Nanyang Technological University,College of Engineering,Engineering,CCD/C,65,No Data
2012/2013,2012,Nanyang Technological University,College of Engineering,Engineering,BCC/D,68.75,No Data
2011/2012,2011,Nanyang Technological University,College of Engineering,Engineering,BCC/C,70,No Data
2010/2011,2010,Nanyang Technological University,College of Engineering,Engineering,BCC/B,71.25,No Data
2009/2010,2009,Nanyang Technological University,College of Engineering,Engineering,BCC/B,71.25,No Data
2008/2009,2008,Nanyang Technological University,College of Engineering,Engineering,CCC/D,66.25,No Data
2019/2020,2019,Nanyang Technological University,College of Engineering,Environmental Engineering,BCC/D,68.75,3.46
2018/2019,2018,Nanyang Technological University,College of Engineering,Environmental Engineering,BCC/C,70,3.51
2017/2018,2017,Nanyang Technological University,College of Engineering,Environmental Engineering,BBC/D,71.25,3.63
2016/2017,2016,Nanyang Technological University,College of Engineering,Environmental Engineering,BBC/D,71.25,3.64
2015/2016,2015,Nanyang Technological University,College of Engineering,Environmental Engineering,BBC/D,71.25,3.7
2014/2015,2014,Nanyang Technological University,College of Engineering,Environmental Engineering,BBC/D,71.25,3.74
2013/2014,2013,Nanyang Technological University,College of Engineering,Environmental Engineering,BCC/B,71.25,3.5
2012/2013,2012,Nanyang Technological University,College of Engineering,Environmental Engineering,BCC/C,70,3.66
2011/2012,2011,Nanyang Technological University,College of Engineering,Environmental Engineering,ABB/A,80,3.61
2010/2011,2010,Nanyang Technological University,College of Engineering,Environmental Engineering,AAB/B,81.25,3.57
2009/2010,2009,Nanyang Technological University,College of Engineering,Environmental Engineering,ABB/B,78.75,3.22
2008/2009,2008,Nanyang Technological University,College of Engineering,Environmental Engineering,ABB/B,78.75,3.29
2019/2020,2019,Nanyang Technological University,College of Engineering,Information Engineering & Media,BBC/B,73.75,3.49
2018/2019,2018,Nanyang Technological University,College of Engineering,Information Engineering & Media,BBC/B,73.75,3.63
2017/2018,2017,Nanyang Technological University,College of Engineering,Information Engineering & Media,BBC/B,73.75,3.7
2016/2017,2016,Nanyang Technological University,College of Engineering,Information Engineering & Media,BCC/C,70,3.48
2015/2016,2015,Nanyang Technological University,College of Engineering,Information Engineering & Media,BCC/D,68.75,3.53
2014/2015,2014,Nanyang Technological University,College of Engineering,Information Engineering & Media,BCC/D,68.75,3.48
2013/2014,2013,Nanyang Technological University,College of Engineering,Information Engineering & Media,CCC/B,68.75,3.52
2012/2013,2012,Nanyang Technological University,College of Engineering,Information Engineering & Media,BCC/B,71.25,3.55
2011/2012,2011,Nanyang Technological University,College of Engineering,Information Engineering & Media,BBC/B,73.75,3.58
2010/2011,2010,Nanyang Technological University,College of Engineering,Information Engineering & Media,BBC/B,73.75,3.6
2009/2010,2009,Nanyang Technological University,College of Engineering,Information Engineering & Media,BBC/C,72.5,3.64
2008/2009,2008,Nanyang Technological University,College of Engineering,Information Engineering & Media,BBB/C,75,3.56
2019/2020,2019,Nanyang Technological University,College of Engineering,Maritime Studies,BCC/C,70,3.54
2018/2019,2018,Nanyang Technological University,College of Engineering,Maritime Studies,BCC/B,71.25,3.69
2017/2018,2017,Nanyang Technological University,College of Engineering,Maritime Studies,BBC/C,72.5,3.68
2016/2017,2016,Nanyang Technological University,College of Engineering,Maritime Studies,BBC/C,72.5,3.78
2015/2016,2015,Nanyang Technological University,College of Engineering,Maritime Studies,ABC/D,73.75,3.69
2014/2015,2014,Nanyang Technological University,College of Engineering,Maritime Studies,ABC/D,73.75,3.68
2013/2014,2013,Nanyang Technological University,College of Engineering,Maritime Studies,BBB/C,75,3.7
2012/2013,2012,Nanyang Technological University,College of Engineering,Maritime Studies,BBB/B,76.25,3.68
2011/2012,2011,Nanyang Technological University,College of Engineering,Maritime Studies,ABB/B,78.75,3.71
2010/2011,2010,Nanyang Technological University,College of Engineering,Maritime Studies,AAB/A,82.5,3.74
2009/2010,2009,Nanyang Technological University,College of Engineering,Maritime Studies,ABB/A,80,3.65
2008/2009,2008,Nanyang Technological University,College of Engineering,Maritime Studies,ABB/B,78.75,No Data
2019/2020,2019,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/D,68.75,3.38
2018/2019,2018,Nanyang Technological University,College of Engineering,Materials Engineering,BBC/C,72.5,3.46
2017/2018,2017,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/C,70,3.49
2016/2017,2016,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/D,68.75,3.51
2015/2016,2015,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/D,68.75,3.46
2014/2015,2014,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/D,68.75,3.48
2013/2014,2013,Nanyang Technological University,College of Engineering,Materials Engineering,CCD/C,65,3.39
2012/2013,2012,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/C,70,3.46
2011/2012,2011,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/B,71.25,3.52
2010/2011,2010,Nanyang Technological University,College of Engineering,Materials Engineering,BBC/B,73.75,3.51
2009/2010,2009,Nanyang Technological University,College of Engineering,Materials Engineering,BBC/C,72.5,3.24
2008/2009,2008,Nanyang Technological University,College of Engineering,Materials Engineering,BCC/B,71.25,3.38
2019/2020,2019,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/D,68.75,3.4
2018/2019,2018,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/C,70,3.61
2017/2018,2017,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/C,70,3.63
2016/2017,2016,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/C,70,3.44
2015/2016,2015,Nanyang Technological University,College of Engineering,Mechanical Engineering,CCC/D,66.25,3.46
2014/2015,2014,Nanyang Technological University,College of Engineering,Mechanical Engineering,ABC/D,73.75,3.5
2013/2014,2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,CCD/C,65,3.47
2012/2013,2012,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/D,68.75,3.48
2011/2012,2011,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/C,70,3.55
2010/2011,2010,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/B,71.25,3.6
